# Source: K. Bogumil, J. Orphal, and J. P. Burrows
# University of Bremen - Institute of Environmental Physics
# P. O. Box 33 04 40
# D-28334 Bremen, Germany
# e-mail: Konstanze.Bogumil@iup.physik.uni-bremen.de
# SIGMA = (C0 + C1*(T-T0) + C2*(T-T0)^2) * 1.E-20 cm^2
# where T0 = 273.15 and T is in Kelvin
#
# wavelength
# (air nm)         C0          C1(T-T0)         C2((T-T0)^2)
   244.5      1.38844e+00      3.94505e-02      1.10230e-03
   244.6      1.60472e+00      4.11384e-02      1.17999e-03
   244.7      2.21525e+00      4.02630e-02      1.21204e-03
   244.8      3.14484e+00      3.60688e-02      1.18144e-03
   244.9      3.88757e+00      3.03920e-02      1.11204e-03
   245.0      3.96212e+00      3.07030e-02      1.13510e-03
   245.1      3.62993e+00      2.84750e-02      9.57888e-04
   245.2      3.10301e+00      2.69488e-02      7.56835e-04
   245.3      2.37947e+00      3.41852e-02      9.69363e-04
   245.4      2.03238e+00      2.93637e-02      6.93704e-04
   245.5      1.73743e+00      2.50191e-02      5.25002e-04
   245.6      1.36106e+00      2.80450e-02      6.76638e-04
   245.7      1.10055e+00      3.10578e-02      8.06202e-04
   245.8      1.08369e+00      3.27014e-02      8.75776e-04
   245.9      1.67266e+00      3.46466e-02      9.06678e-04
   246.0      2.78114e+00      3.06413e-02      9.15630e-04
   246.1      3.60230e+00      2.08834e-02      7.27101e-04
   246.2      3.60986e+00      1.27213e-02      4.31056e-04
   246.3      2.87774e+00      2.30497e-02      7.09107e-04
   246.4      2.20101e+00      3.05329e-02      9.13541e-04
   246.5      1.91669e+00      2.35920e-02      6.11668e-04
   246.6      1.64339e+00      2.14337e-02      4.62733e-04
   246.7      1.22333e+00      2.96636e-02      7.21268e-04
   246.8      1.11302e+00      2.71099e-02      5.49524e-04
   246.9      1.02016e+00      2.41178e-02      4.44390e-04
   247.0      8.65216e-01      2.46550e-02      4.48928e-04
   247.1      7.77466e-01      2.43581e-02      4.43719e-04
   247.2      6.87849e-01      2.48222e-02      4.72499e-04
   247.3      6.18279e-01      2.28102e-02      4.49834e-04
   247.4      5.59766e-01      2.13443e-02      4.69233e-04
   247.5      5.46040e-01      2.04936e-02      4.20547e-04
   247.6      4.82182e-01      2.12678e-02      4.32646e-04
   247.7      3.33601e-01      2.55188e-02      6.18554e-04
   247.8      2.78240e-01      2.79572e-02      7.02997e-04
   247.9      3.68497e-01      2.31160e-02      5.06567e-04
   248.0      3.49383e-01      2.21441e-02      5.19381e-04
   248.1      2.90132e-01      2.33846e-02      5.93551e-04
   248.2      3.45369e-01      2.10007e-02      4.50314e-04
   248.3      3.73513e-01      1.98514e-02      3.84260e-04
   248.4      2.62025e-01      2.39600e-02      5.98250e-04
   248.5      2.78994e-01      2.29509e-02      5.55315e-04
   248.6      3.51108e-01      1.99869e-02      4.23412e-04
   248.7      3.23385e-01      2.14880e-02      5.16641e-04
   248.8      3.00721e-01      2.29276e-02      6.28938e-04
   248.9      4.00064e-01      2.11117e-02      5.28859e-04
   249.0      6.20158e-01      2.44305e-02      5.94486e-04
   249.1      1.59792e+00      2.91184e-02      8.00202e-04
   249.2      3.54434e+00      1.76788e-02      6.98423e-04
   249.3      4.96668e+00      3.87524e-03      4.66745e-04
   249.4      5.00885e+00     -8.39809e-05      2.90959e-04
   249.5      4.30736e+00      4.18913e-03      1.94527e-04
   249.6      3.54252e+00      6.99792e-03      1.60647e-04
   249.7      2.89115e+00      9.12724e-03      1.41480e-04
   249.8      2.40009e+00      1.08324e-02      1.12989e-04
   249.9      1.89751e+00      1.61012e-02      2.98790e-04
   250.0      1.64487e+00      1.58422e-02      2.35698e-04
   250.1      1.40839e+00      1.70785e-02      3.22832e-04
   250.2      1.15221e+00      1.98443e-02      4.03524e-04
   250.3      1.11966e+00      1.63011e-02      2.16095e-04
   250.4      1.03606e+00      1.64568e-02      2.42561e-04
   250.5      9.55738e-01      1.47629e-02      1.83292e-04
   250.6      8.60850e-01      1.62095e-02      2.08547e-04
   250.7      7.84760e-01      1.82171e-02      3.18484e-04
   250.8      7.31514e-01      1.77589e-02      3.38250e-04
   250.9      7.61768e-01      1.35187e-02      1.74229e-04
   251.0      7.44713e-01      1.27167e-02      1.47816e-04
   251.1      6.76120e-01      1.51485e-02      2.52143e-04
   251.2      7.64077e-01      9.99785e-03      2.97831e-05
   251.3      7.95281e-01      7.45211e-03     -1.07294e-04
   251.4      6.64858e-01      1.23951e-02      1.16362e-04
   251.5      6.54834e-01      1.20019e-02      1.21989e-04
   251.6      5.38361e-01      1.66264e-02      3.20673e-04
   251.7      5.48026e-01      1.58506e-02      2.81659e-04
   251.8      5.65969e-01      1.40227e-02      2.59127e-04
   251.9      5.12407e-01      1.62591e-02      3.53438e-04
   252.0      6.34487e-01      1.22338e-02      1.43472e-04
   252.1      6.43135e-01      1.18864e-02      1.55038e-04
   252.2      5.53959e-01      1.57467e-02      3.25735e-04
   252.3      5.58170e-01      1.58362e-02      3.21582e-04
   252.4      6.64283e-01      1.15959e-02      1.36303e-04
   252.5      6.88675e-01      1.08991e-02      9.77082e-05
   252.6      6.14753e-01      1.40792e-02      2.55077e-04
   252.7      7.67015e-01      7.65555e-03     -1.33615e-05
   252.8      7.97714e-01      6.67964e-03     -7.51156e-05
   252.9      7.39608e-01      1.00598e-02      6.90577e-05
   253.0      7.43866e-01      1.12593e-02      9.63986e-05
   253.1      7.80739e-01      9.89900e-03      4.05402e-05
   253.2      7.65407e-01      1.00697e-02      9.52665e-05
   253.3      8.74461e-01      5.35648e-03     -1.05610e-04
   253.4      7.91192e-01      1.00825e-02      3.39021e-05
   253.5      7.46597e-01      1.16031e-02      1.28844e-04
   253.6      8.65879e-01      6.16690e-03     -8.28058e-05
   253.7      8.24388e-01      8.66537e-03      2.38322e-05
   253.8      7.76576e-01      1.13959e-02      1.33200e-04
   253.9      8.75975e-01      8.54734e-03     -2.27349e-05
   254.0      9.40059e-01      7.30896e-03     -7.59804e-05
   254.1      9.11642e-01      9.53009e-03      2.50333e-05
   254.2      9.48670e-01      8.55754e-03     -9.55809e-07
   254.3      9.66122e-01      8.09604e-03     -1.27467e-05
   254.4      9.04136e-01      1.05417e-02      9.08199e-05
   254.5      9.27909e-01      9.03515e-03      3.50413e-05
   254.6      9.50989e-01      7.85948e-03     -2.56364e-05
   254.7      9.75714e-01      6.47278e-03     -7.62581e-05
   254.8      9.94306e-01      5.25972e-03     -1.17287e-04
   254.9      9.01460e-01      9.01090e-03      6.98419e-05
   255.0      9.86730e-01      5.21671e-03     -8.83472e-05
   255.1      9.74123e-01      6.54103e-03     -6.63364e-05
   255.2      9.49735e-01      8.03060e-03      2.38654e-06
   255.3      1.04183e+00      4.51472e-03     -1.48813e-04
   255.4      1.08179e+00      3.56710e-03     -1.96921e-04
   255.5      9.56934e-01      9.48975e-03      6.14153e-05
   255.6      9.84443e-01      9.53366e-03      3.73045e-05
   255.7      1.01182e+00      9.22911e-03      2.35298e-05
   255.8      1.00475e+00      1.01421e-02      7.91921e-05
   255.9      1.08562e+00      6.46671e-03     -3.52560e-05
   256.0      1.15218e+00      3.24814e-03     -1.70494e-04
   256.1      1.06375e+00      6.93201e-03     -3.14824e-05
   256.2      9.63629e-01      1.05813e-02      1.41254e-04
   256.3      1.03170e+00      7.29777e-03     -1.82348e-06
   256.4      1.03814e+00      6.80651e-03     -2.48633e-05
   256.5      9.99151e-01      8.55854e-03      3.44231e-05
   256.6      1.13892e+00      2.34300e-03     -2.52811e-04
   256.7      1.04415e+00      6.21679e-03     -8.16113e-05
   256.8      9.79755e-01      9.93921e-03      6.97904e-05
   256.9      1.08370e+00      4.83217e-03     -1.06425e-04
   257.0      1.07488e+00      5.11926e-03     -9.97219e-05
   257.1      1.02935e+00      7.80006e-03      2.72360e-05
   257.2      1.14440e+00      4.33840e-03     -1.43905e-04
   257.3      1.13149e+00      6.40978e-03     -9.18965e-05
   257.4      1.13045e+00      7.18972e-03     -6.64757e-05
   257.5      1.18046e+00      5.44474e-03     -1.24975e-04
   257.6      1.19610e+00      6.04960e-03     -1.16273e-04
   257.7      1.27101e+00      3.94424e-03     -2.00175e-04
   257.8      1.34813e+00      1.91421e-03     -2.99674e-04
   257.9      1.20204e+00      8.54171e-03      2.47342e-05
   258.0      1.32286e+00      3.40773e-03     -1.77542e-04
   258.1      1.33400e+00      3.96785e-03     -1.95587e-04
   258.2      1.31166e+00      4.75615e-03     -1.43498e-04
   258.3      1.29246e+00      5.18972e-03     -1.37351e-04
   258.4      1.21023e+00      7.94052e-03      1.98159e-05
   258.5      1.17624e+00      9.17665e-03      8.32229e-05
   258.6      1.27289e+00      5.76661e-03     -1.18605e-04
   258.7      1.35757e+00      2.51655e-03     -2.57525e-04
   258.8      1.33922e+00      3.89724e-03     -1.58744e-04
   258.9      1.37236e+00      4.43933e-03     -1.39552e-04
   259.0      1.43923e+00      3.61777e-03     -1.77658e-04
   259.1      1.35286e+00      8.80737e-03      8.03288e-05
   259.2      1.42591e+00      6.96924e-03     -7.72334e-06
   259.3      1.52527e+00      3.69877e-03     -1.74061e-04
   259.4      1.59801e+00      5.55121e-04     -2.79334e-04
   259.5      1.58683e+00      1.54389e-03     -2.51937e-04
   259.6      1.50994e+00      5.51262e-03     -1.35012e-04
   259.7      1.48487e+00      5.99434e-03     -1.05704e-04
   259.8      1.54183e+00      2.62129e-03     -2.17791e-04
   259.9      1.54123e+00      2.22482e-03     -2.31817e-04
   260.0      1.54729e+00      1.97979e-03     -2.67420e-04
   260.1      1.57085e+00      1.50326e-03     -3.25530e-04
   260.2      1.54409e+00      1.80447e-03     -2.88789e-04
   260.3      1.48621e+00      2.77425e-03     -2.23257e-04
   260.4      1.50653e+00      1.12494e-03     -2.77343e-04
   260.5      1.46306e+00      2.67924e-03     -1.95758e-04
   260.6      1.43497e+00      4.85194e-03     -1.28584e-04
   260.7      1.50349e+00      2.20790e-03     -2.33175e-04
   260.8      1.53606e+00      1.52239e-03     -2.67039e-04
   260.9      1.58043e+00      8.25319e-04     -2.96933e-04
   261.0      1.66426e+00     -1.75899e-03     -4.03425e-04
   261.1      1.54270e+00      3.88351e-03     -1.24828e-04
   261.2      1.61276e+00      2.16415e-03     -2.29380e-04
   261.3      1.61957e+00      3.76709e-03     -2.05371e-04
   261.4      1.66971e+00      1.93744e-03     -2.40637e-04
   261.5      1.73754e+00      3.39860e-04     -3.38289e-04
   261.6      1.74535e+00      4.27315e-04     -3.29151e-04
   261.7      1.76241e+00     -1.12012e-03     -3.83963e-04
   261.8      1.72652e+00      9.80064e-04     -3.19073e-04
   261.9      1.67189e+00      3.05081e-03     -2.37462e-04
   262.0      1.65886e+00      3.00194e-03     -2.54152e-04
   262.1      1.67759e+00      1.93395e-03     -2.98605e-04
   262.2      1.70802e+00      7.89950e-05     -3.34262e-04
   262.3      1.73057e+00     -1.90910e-04     -3.61690e-04
   262.4      1.75021e+00      8.61990e-04     -3.48412e-04
   262.5      1.84720e+00     -2.04937e-03     -4.61270e-04
   262.6      1.85063e+00      1.83332e-05     -3.81283e-04
   262.7      1.86200e+00      1.35668e-03     -3.38950e-04
   262.8      1.98731e+00     -3.03791e-03     -4.75264e-04
   262.9      2.03907e+00     -2.33168e-03     -4.94197e-04
   263.0      2.02324e+00      3.93172e-04     -3.83432e-04
   263.1      2.03367e+00      1.01883e-03     -3.24335e-04
   263.2      2.02889e+00      1.93404e-03     -2.80617e-04
   263.3      2.01938e+00      2.83302e-03     -2.62057e-04
   263.4      2.03754e+00      1.79931e-03     -2.98687e-04
   263.5      2.12167e+00     -2.41794e-03     -4.59697e-04
   263.6      2.12617e+00     -2.82060e-03     -4.84060e-04
   263.7      2.04727e+00      8.77730e-04     -3.26006e-04
   263.8      2.15130e+00     -2.94619e-03     -4.96301e-04
   263.9      2.07949e+00     -1.06488e-04     -3.23504e-04
   264.0      2.04860e+00      1.84342e-03     -2.21936e-04
   264.1      2.04437e+00      2.41066e-03     -2.23919e-04
   264.2      2.07679e+00      6.96439e-04     -3.05107e-04
   264.3      2.15050e+00     -2.59034e-03     -4.47018e-04
   264.4      2.17097e+00     -2.81473e-03     -4.90307e-04
   264.5      2.18489e+00     -2.65440e-03     -4.85468e-04
   264.6      2.19201e+00     -3.05158e-03     -4.87830e-04
   264.7      2.16800e+00     -4.16645e-05     -3.82780e-04
   264.8      2.16430e+00      1.31856e-03     -2.95627e-04
   264.9      2.24697e+00     -1.05397e-03     -4.05671e-04
   265.0      2.34815e+00     -3.94656e-03     -5.38816e-04
   265.1      2.31474e+00     -1.56037e-03     -4.25677e-04
   265.2      2.31137e+00     -8.72261e-04     -3.73793e-04
   265.3      2.33667e+00     -9.94378e-04     -3.76723e-04
   265.4      2.35466e+00     -1.22714e-03     -3.90779e-04
   265.5      2.39959e+00     -2.47960e-03     -4.62063e-04
   265.6      2.41065e+00     -2.77555e-03     -5.02657e-04
   265.7      2.34455e+00     -7.00195e-04     -4.12971e-04
   265.8      2.32615e+00     -7.78611e-04     -3.87625e-04
   265.9      2.41034e+00     -4.68702e-03     -5.72475e-04
   266.0      2.37571e+00     -3.85747e-03     -5.26784e-04
   266.1      2.38316e+00     -4.75274e-03     -5.63265e-04
   266.2      2.38368e+00     -5.24735e-03     -6.00655e-04
   266.3      2.36528e+00     -5.19036e-03     -5.92635e-04
   266.4      2.34644e+00     -4.22945e-03     -5.83596e-04
   266.5      2.32039e+00     -2.83912e-03     -5.21467e-04
   266.6      2.26899e+00      1.54000e-04     -4.06991e-04
   266.7      2.37407e+00     -3.30754e-03     -5.53433e-04
   266.8      2.38956e+00     -2.40745e-03     -5.06450e-04
   266.9      2.43409e+00     -2.83940e-03     -5.24611e-04
   267.0      2.49795e+00     -3.36776e-03     -5.42417e-04
   267.1      2.54710e+00     -3.12033e-03     -5.49544e-04
   267.2      2.60652e+00     -4.50654e-03     -5.83972e-04
   267.3      2.60750e+00     -2.97592e-03     -4.91756e-04
   267.4      2.59885e+00     -2.10590e-03     -4.36205e-04
   267.5      2.63739e+00     -3.22972e-03     -5.11338e-04
   267.6      2.67714e+00     -4.88004e-03     -6.00861e-04
   267.7      2.65768e+00     -4.29513e-03     -5.87897e-04
   267.8      2.58612e+00     -1.59218e-03     -4.84107e-04
   267.9      2.59402e+00     -2.81784e-03     -4.89569e-04
   268.0      2.64093e+00     -4.18777e-03     -5.83968e-04
   268.1      2.64359e+00     -2.94949e-03     -5.62409e-04
   268.2      2.60614e+00     -3.01480e-04     -4.10000e-04
   268.3      2.75371e+00     -4.62908e-03     -5.68623e-04
   268.4      2.86586e+00     -5.93918e-03     -6.36056e-04
   268.5      2.90425e+00     -4.74641e-03     -5.82979e-04
   268.6      2.96951e+00     -5.08079e-03     -5.83328e-04
   268.7      3.02879e+00     -4.69343e-03     -5.81551e-04
   268.8      3.04184e+00     -2.56534e-03     -5.19039e-04
   268.9      3.14163e+00     -4.89822e-03     -5.83787e-04
   269.0      3.24041e+00     -7.27000e-03     -6.90290e-04
   269.1      3.16148e+00     -2.60054e-03     -4.95000e-04
   269.2      3.19436e+00     -3.57524e-03     -5.20687e-04
   269.3      3.26779e+00     -6.50057e-03     -6.43784e-04
   269.4      3.24580e+00     -5.70790e-03     -6.11520e-04
   269.5      3.20734e+00     -4.79486e-03     -5.63553e-04
   269.6      3.20465e+00     -5.76688e-03     -6.07344e-04
   269.7      3.20340e+00     -6.83357e-03     -6.38246e-04
   269.8      3.18931e+00     -6.00374e-03     -6.12792e-04
   269.9      3.16959e+00     -5.09458e-03     -5.82079e-04
   270.0      3.16424e+00     -4.95255e-03     -5.86972e-04
   270.1      3.15075e+00     -3.98991e-03     -5.70074e-04
   270.2      3.19819e+00     -5.97655e-03     -6.48255e-04
   270.3      3.29851e+00     -1.06206e-02     -8.09013e-04
   270.4      3.27548e+00     -9.23877e-03     -7.75716e-04
   270.5      3.19968e+00     -5.44735e-03     -6.34541e-04
   270.6      3.22583e+00     -6.12987e-03     -6.71126e-04
   270.7      3.20327e+00     -5.54027e-03     -6.47904e-04
   270.8      3.21081e+00     -6.17305e-03     -6.75301e-04
   270.9      3.18786e+00     -5.12901e-03     -6.10820e-04
   271.0      3.18643e+00     -4.53725e-03     -5.89477e-04
   271.1      3.19147e+00     -4.76699e-03     -5.94723e-04
   271.2      3.14512e+00     -2.81213e-03     -5.06648e-04
   271.3      3.17732e+00     -3.79775e-03     -5.98797e-04
   271.4      3.21838e+00     -6.22758e-03     -6.92132e-04
   271.5      3.22721e+00     -7.44412e-03     -7.14953e-04
   271.6      3.24789e+00     -8.38278e-03     -7.74988e-04
   271.7      3.29982e+00     -1.02278e-02     -8.66390e-04
   271.8      3.26074e+00     -8.87367e-03     -7.56676e-04
   271.9      3.22831e+00     -6.66772e-03     -6.58721e-04
   272.0      3.28848e+00     -7.44230e-03     -7.24542e-04
   272.1      3.27870e+00     -5.66224e-03     -6.34002e-04
   272.2      3.35901e+00     -6.44553e-03     -6.79265e-04
   272.3      3.37558e+00     -4.86267e-03     -6.00304e-04
   272.4      3.45349e+00     -6.32578e-03     -6.34525e-04
   272.5      3.52864e+00     -7.52760e-03     -6.73536e-04
   272.6      3.52827e+00     -5.04047e-03     -5.95826e-04
   272.7      3.54520e+00     -3.52483e-03     -5.58484e-04
   272.8      3.63073e+00     -4.62839e-03     -5.94513e-04
   272.9      3.72593e+00     -4.94723e-03     -6.12659e-04
   273.0      3.89692e+00     -8.64361e-03     -7.60255e-04
   273.1      3.96561e+00     -8.34242e-03     -7.38488e-04
   273.2      3.96550e+00     -5.54343e-03     -6.17392e-04
   273.3      4.10399e+00     -9.84411e-03     -8.00515e-04
   273.4      4.13881e+00     -9.76097e-03     -8.15361e-04
   273.5      4.04964e+00     -5.83273e-03     -6.48784e-04
   273.6      4.05894e+00     -7.27408e-03     -6.82774e-04
   273.7      4.04932e+00     -6.61760e-03     -6.94785e-04
   273.8      3.97179e+00     -3.21597e-03     -5.67385e-04
   273.9      4.05029e+00     -6.55871e-03     -7.04527e-04
   274.0      4.20119e+00     -1.24630e-02     -9.30852e-04
   274.1      4.21892e+00     -1.04679e-02     -8.62554e-04
   274.2      4.13951e+00     -4.60846e-03     -6.21851e-04
   274.3      4.18940e+00     -4.86507e-03     -6.27341e-04
   274.4      4.26103e+00     -6.11707e-03     -6.75523e-04
   274.5      4.27425e+00     -6.33434e-03     -6.50579e-04
   274.6      4.32370e+00     -7.37280e-03     -7.28083e-04
   274.7      4.28282e+00     -5.01090e-03     -6.28748e-04
   274.8      4.23411e+00     -3.48302e-03     -5.50600e-04
   274.9      4.28701e+00     -5.54125e-03     -6.64827e-04
   275.0      4.33551e+00     -7.64631e-03     -7.61390e-04
   275.1      4.36280e+00     -8.89963e-03     -8.11735e-04
   275.2      4.36508e+00     -8.86875e-03     -8.20966e-04
   275.3      4.31464e+00     -6.90086e-03     -7.41694e-04
   275.4      4.28722e+00     -6.08746e-03     -7.21773e-04
   275.5      4.31216e+00     -7.85835e-03     -8.08854e-04
   275.6      4.24087e+00     -5.85289e-03     -7.09027e-04
   275.7      4.21478e+00     -6.06078e-03     -6.93692e-04
   275.8      4.17494e+00     -4.92552e-03     -6.49298e-04
   275.9      4.17037e+00     -4.37744e-03     -6.65381e-04
   276.0      4.20636e+00     -5.47298e-03     -7.28165e-04
   276.1      4.21578e+00     -5.04229e-03     -7.20780e-04
   276.2      4.21141e+00     -3.76073e-03     -6.89497e-04
   276.3      4.25834e+00     -5.43956e-03     -7.18041e-04
   276.4      4.29764e+00     -4.90050e-03     -7.15189e-04
   276.5      4.37676e+00     -6.46214e-03     -7.51639e-04
   276.6      4.43721e+00     -7.49271e-03     -7.88009e-04
   276.7      4.52158e+00     -8.99554e-03     -8.53570e-04
   276.8      4.52696e+00     -7.20388e-03     -7.76566e-04
   276.9      4.51776e+00     -5.02157e-03     -6.95030e-04
   277.0      4.54070e+00     -4.26083e-03     -6.63777e-04
   277.1      4.58648e+00     -5.08871e-03     -6.98027e-04
   277.2      4.60132e+00     -5.27942e-03     -7.13967e-04
   277.3      4.58816e+00     -4.14469e-03     -6.73506e-04
   277.4      4.69049e+00     -8.04836e-03     -8.39490e-04
   277.5      4.70842e+00     -8.39192e-03     -8.59912e-04
   277.6      4.67724e+00     -6.47885e-03     -7.84329e-04
   277.7      4.62658e+00     -3.77686e-03     -6.70674e-04
   277.8      4.62214e+00     -3.00058e-03     -6.30544e-04
   277.9      4.70275e+00     -5.43564e-03     -7.17299e-04
   278.0      4.80174e+00     -7.73225e-03     -8.06897e-04
   278.1      4.87174e+00     -8.24283e-03     -8.24220e-04
   278.2      4.94927e+00     -9.18979e-03     -8.53477e-04
   278.3      4.99226e+00     -8.92025e-03     -8.48440e-04
   278.4      4.94853e+00     -5.06927e-03     -7.02779e-04
   278.5      4.99731e+00     -6.06732e-03     -7.40327e-04
   278.6      5.01205e+00     -5.32959e-03     -7.28008e-04
   278.7      5.05776e+00     -6.55125e-03     -7.77022e-04
   278.8      5.11734e+00     -7.87688e-03     -8.10142e-04
   278.9      5.19031e+00     -8.53932e-03     -8.36190e-04
   279.0      5.28197e+00     -9.43742e-03     -8.62925e-04
   279.1      5.30700e+00     -6.35932e-03     -7.29963e-04
   279.2      5.37741e+00     -4.94903e-03     -6.44570e-04
   279.3      5.55093e+00     -7.13524e-03     -7.63038e-04
   279.4      5.66204e+00     -8.12036e-03     -7.67017e-04
   279.5      5.74338e+00     -7.46787e-03     -7.55697e-04
   279.6      5.78589e+00     -6.82505e-03     -7.64426e-04
   279.7      5.77129e+00     -6.72506e-03     -7.39403e-04
   279.8      5.76330e+00     -7.16858e-03     -7.50405e-04
   279.9      5.76321e+00     -7.30393e-03     -7.92984e-04
   280.0      5.71062e+00     -6.15050e-03     -7.49310e-04
   280.1      5.63942e+00     -5.54745e-03     -6.83045e-04
   280.2      5.59307e+00     -5.60075e-03     -7.20521e-04
   280.3      5.57331e+00     -6.10393e-03     -7.59564e-04
   280.4      5.51962e+00     -5.48622e-03     -7.03326e-04
   280.5      5.48038e+00     -3.91147e-03     -6.36334e-04
   280.6      5.56155e+00     -5.56541e-03     -7.05897e-04
   280.7      5.67325e+00     -7.60186e-03     -7.82805e-04
   280.8      5.72797e+00     -7.86037e-03     -7.70884e-04
   280.9      5.77374e+00     -8.57888e-03     -7.60852e-04
   281.0      5.77595e+00     -6.69555e-03     -7.05440e-04
   281.1      5.76120e+00     -4.87371e-03     -6.22718e-04
   281.2      5.82897e+00     -6.55387e-03     -6.79126e-04
   281.3      5.85532e+00     -6.39097e-03     -6.40443e-04
   281.4      5.90379e+00     -6.09205e-03     -6.36612e-04
   281.5      5.96147e+00     -6.63514e-03     -6.52598e-04
   281.6      6.07561e+00     -1.02766e-02     -7.86593e-04
   281.7      6.09510e+00     -1.06269e-02     -8.15373e-04
   281.8      5.98536e+00     -6.90479e-03     -6.98993e-04
   281.9      5.87762e+00     -5.25794e-03     -6.40923e-04
   282.0      5.75477e+00     -4.42337e-03     -5.88825e-04
   282.1      5.63799e+00     -3.09281e-03     -5.39158e-04
   282.2      5.63269e+00     -6.14374e-03     -6.83442e-04
   282.3      5.61238e+00     -7.63062e-03     -7.45976e-04
   282.4      5.59201e+00     -8.25851e-03     -7.83529e-04
   282.5      5.58703e+00     -8.24374e-03     -8.07712e-04
   282.6      5.53627e+00     -6.87366e-03     -6.93130e-04
   282.7      5.54218e+00     -7.11632e-03     -6.53961e-04
   282.8      5.58960e+00     -7.14326e-03     -6.75319e-04
   282.9      5.65118e+00     -7.74894e-03     -6.87415e-04
   283.0      5.77591e+00     -1.02954e-02     -7.76282e-04
   283.1      5.88980e+00     -1.14158e-02     -7.85510e-04
   283.2      6.00084e+00     -1.07660e-02     -7.49677e-04
   283.3      6.16748e+00     -1.32649e-02     -8.32451e-04
   283.4      6.25204e+00     -1.35032e-02     -8.25403e-04
   283.5      6.27016e+00     -1.03803e-02     -7.11155e-04
   283.6      6.35098e+00     -1.06250e-02     -7.40895e-04
   283.7      6.47950e+00     -1.30462e-02     -8.38934e-04
   283.8      6.61097e+00     -1.46217e-02     -8.68582e-04
   283.9      6.72709e+00     -1.42895e-02     -8.37722e-04
   284.0      6.82421e+00     -1.27111e-02     -8.06447e-04
   284.1      6.92547e+00     -1.36194e-02     -8.33329e-04
   284.2      6.92053e+00     -1.19073e-02     -7.61006e-04
   284.3      6.97781e+00     -1.36038e-02     -8.20494e-04
   284.4      7.01515e+00     -1.36377e-02     -8.72540e-04
   284.5      7.04578e+00     -1.39648e-02     -8.87607e-04
   284.6      7.06108e+00     -1.36692e-02     -8.60709e-04
   284.7      7.07237e+00     -1.19706e-02     -8.20434e-04
   284.8      7.16225e+00     -1.31995e-02     -8.67352e-04
   284.9      7.25714e+00     -1.51294e-02     -8.97530e-04
   285.0      7.31530e+00     -1.51070e-02     -8.88648e-04
   285.1      7.39105e+00     -1.54822e-02     -9.29869e-04
   285.2      7.36228e+00     -1.26542e-02     -7.98615e-04
   285.3      7.47985e+00     -1.49756e-02     -9.32560e-04
   285.4      7.49744e+00     -1.38583e-02     -8.73214e-04
   285.5      7.56018e+00     -1.43217e-02     -8.83228e-04
   285.6      7.62237e+00     -1.45574e-02     -8.81709e-04
   285.7      7.63726e+00     -1.24772e-02     -8.05098e-04
   285.8      7.64520e+00     -9.70164e-03     -7.03838e-04
   285.9      7.70499e+00     -9.57773e-03     -6.82347e-04
